ds_cargo;cd_municipio;nm_municipio;nm_regiao;nr_turno;sg_uf;nr_zona;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
Governador;19445;SÃO JOSÉ DE PRINCESA;NORDESTE;2;PB;34;0;3200;2622;2347;53;0;0;2347;2622;222
Governador;19453;BOM JESUS;NORDESTE;2;PB;68;0;3036;2520;2340;52;0;0;2340;2520;128
Governador;19461;MARIZÓPOLIS;NORDESTE;2;PB;35;0;6098;5152;4621;164;0;0;4621;5152;367
Governador;19470;BOM SUCESSO;NORDESTE;2;PB;36;0;4487;3707;3498;51;0;0;3498;3707;158
Governador;19488;MATO GROSSO;NORDESTE;2;PB;36;0;3206;2272;2125;31;0;0;2125;2272;116
Governador;19496;BONITO DE SANTA FÉ;NORDESTE;2;PB;40;0;7544;6000;5440;140;0;0;5440;6000;420
Governador;19500;BERNARDINO BATISTA;NORDESTE;2;PB;53;0;3146;2419;2270;25;0;0;2270;2419;124
Governador;19518;BOQUEIRÃO;NORDESTE;2;PB;62;0;15008;12467;11275;293;0;0;11275;12467;899
Governador;19526;POÇO DE JOSÉ DE MOURA;NORDESTE;2;PB;37;0;3906;3205;2964;46;0;0;2964;3205;195
Governador;19534;IGARACY;NORDESTE;2;PB;66;0;5696;4136;3854;52;0;0;3854;4136;230
Governador;19542;SÃO JOSÉ DO BREJO DO CRUZ;NORDESTE;2;PB;38;0;2195;1835;1740;21;0;0;1740;1835;74
Governador;19550;BORBOREMA;NORDESTE;2;PB;11;0;4549;3579;3270;69;0;0;3270;3579;240
Governador;19569;SANTA INÊS;NORDESTE;2;PB;41;0;3794;2972;2742;32;0;0;2742;2972;198
Governador;19577;BREJO DO CRUZ;NORDESTE;2;PB;38;0;10270;8291;7768;122;0;0;7768;8291;401
Governador;19585;AMPARO;NORDESTE;2;PB;43;0;2578;2087;1946;56;0;0;1946;2087;85
Governador;19593;BREJO DOS SANTOS;NORDESTE;2;PB;36;0;5792;4803;4487;95;0;0;4487;4803;221
Governador;19607;CASSERENGUE;NORDESTE;2;PB;48;0;6012;4686;4207;120;0;0;4207;4686;359
Governador;19615;CAAPORÃ;NORDESTE;2;PB;73;0;16325;13786;11661;788;0;0;11661;13786;1337
